"","number","snippet","type_of_material"
"5438",5438,"","Article"
"5439",5439,"","Birth Notice"
"5440",5440,"Commending the Mayor's Committee on Rent Profiteering for the work it has done in adjusting disputes between landlords and tenants, Stewart Browne, President of the United States Real Estate Owners Association, in a letter to  Nathan Hirsch, Chair...","Article"
"5441",5441,"The word ""Compremise"" is illchosen by Senator McCUMBER as he uses it to describe the process by which agreement was reached in the Senate in respect to ""the proposed ""Lodge reservations from No. 2 to ""No. 6.""","Editorial"
"5442",5442,"death","Obituary"
"5443",5443,"WHEN is space curved?  When do parallel lines meet? When is a circle not a circle? When are the three angles of  a triangle not equal to two right angles?","Article"
"5444",5444,"WASHINGTON, Nov. 15.--Operators and coal miners will get down to the real business of effecting a settlement of the bituminous coal strike at 10 o'clock Monday morning and the outlook still remains favorable to an early agreement.","Front Page"
"5445",5445,"","Article"
"5446",5446,"","Article"
"5447",5447,"","Article"
"5448",5448,"","Article"
"5449",5449,"BEYOND the fact that both of these books were written during the war  in countries where actual fighting was going on, they have little in common. ""My Italian Year."" by Joseph Collins, a well-known neurologist, consists of a series of essays writt...","Article"
"5450",5450,"","Article"
"5451",5451,"NEARLY forty years have passed since a group of dreamers in Manhattan hit upon the theory of co-operation as a means for  overcoming the ills of poverty, thus anticipating those who today are building upon this same theory for the creation ...  ","Article"
"5452",5452,"","Article"
"5453",5453,"","Article"
"5454",5454,"","Letter"
"5455",5455,"","Article"
"5456",5456,"","Article"
"5457",5457,"WHILE President Wilson was on his sick bed the National Committee on Prisons and Prison Labor, or  ganized to bring about honest industry in penal institutions as opposed to the system in which the labor of the prisoner is exploited by the unscrup...","Article"
"5458",5458,"","Obituary"
"5459",5459,"Even before the war and the high price of lumber, brick houses were sold in some cities at the same price as frame houses of equal size.  ","Article"
"5460",5460,"E. B. Ault at liberty under bonds","Article"
"5461",5461,"decrease of 40% in U. S. since tax provision of revenue act went into effect last Apr","Article"
"5462",5462,"Symphony Concerts for Young People","Article"
"5463",5463,"ill","Article"
"5464",5464,"More than a thousand members and guests of the Society of Naval Architects and Marine Engineers attended last night the twenty-seventh annual ...","Article"
"5465",5465,"ill","Article"
"5466",5466,"imprisoned in Moscow by Bolshevist authorities, who accuse him of crossing frontier without permission","Article"
"5467",5467,"Lynn Shoe Mfrs' Assoc, P. J. Harney Shoe Co, and Hennessey, Maxwell, and Hennessey seek injunction to prevent Goodyear shoe workers from curtailing production","Front Page"
"5468",5468,"LONDON, Nov. 14.--The Bolsheviki captured Yamburg, sixty-eight miles southwest of Petrograd, this afternoon, according to a wireless dispatch received here this evening from Moscow. (The evacuation of Yamburg by troops of Yudenitch's army was anno...","Article"
"5469",5469,"YOU have to call your child something. You christen it ""Theodora"" and it grows up to be a ""Dolly,"" or you name it ""Hannibal"" and it ends as ""Bull.""  When you come to naming plays you ...","Article"
"5470",5470,"WASHINGTON, Nov. 16.--The Senate Committee on Military Affairs has decided to draft its own army bill, discarding the bills already before it. In drafting the bill, the Senate Committee will be assisted by Colonel John McA. Palmer, of the General ...","Article"
"5471",5471,"Five games will constitute the preliminary schedule for the Columbia basket ball five before the Intercollegiate League round robin begins in January. The complete schedule was announced last night, and in the five early opponents Columbia will me...","Article"
"5472",5472,"","Article"
"5473",5473,"","Obituary"
"5474",5474,"Building contracts awarded for the district which includes the State and City of New York and Northern New Jersey, during the month of October total $53,210,000, which is less than the amount for the month of September by $14,081,000.  ","Article"
"5475",5475,"CHICAGO, Nov. 16.--With the Western conference football championship race drawing to a close, the undefeated Ohio State eleven tonight is within one game of the the title, Illinois, victorious in five of its six games, being the only team left for...","Article"
"5476",5476,"Cotton had still another nervous and irregular day Yesterday. The opening was firm, responding to the better tone and the higher prices at Liverpool, where spots were up over 100 English points and Futures were advanced 45 to 48 points at their op...","Article"
"5477",5477,"","Article"
"5478",5478,"","Article"
"5479",5479,"GREATER NEW YORK'S health efforts, public and privately supported, are keeping pace with only  one-third of the tuberculosis cases here, according to the figures collected in connection with the Red Cross Christ- ...  ","Article"
"5480",5480,"","Article"
"5481",5481,"","Article"
"5482",5482,"","Article"
"5483",5483,"","Article"
"5484",5484,"","Letter"
"5485",5485,"","Article"
"5486",5486,"","Article"
"5487",5487,"","Article"
"5488",5488,"WASHINGTON, Nov. 16.--The first real test which may determine whether an early agreement is to be reached between the operators and miners of the Central competitive coal fields will come tomorrow, when representatives of the...  ","Article"
"5489",5489,"Army of Occupation huts sold to Belgians in devastated regions","Article"
"5490",5490,"JAMES McINTYRE and Thomas Heath met in San Antonio in 1874, and then and there began a stage partnership which still endures and is the longest of its kind in the  world. At the Forty-fourth Street Theatre, where they are at present playing ...","Article"
"5491",5491,"SPOKANE, Wash., Nov. 14.--Members of the American Legion here were being sworn in as special policemen this evening to meet what was declared to be an invasion of 1,000 to 2,000 members of the Industrial Workers of the World due to  arrive here to...","Front Page"
"5492",5492,"The differences between the House and Senate bills for the adjustment of the status of the railways after their return to private operation are wide, but less wide than the differences...","Editorial"
"5493",5493,"The Bull of Olivera, by Eugen d'Albert; produced in Berlin; composer fled from performance because of misrepresentation of his work","Article"
"5494",5494,"bus rams elevated pillar, 2 passengers hurt","Article"
"5495",5495,"BOSTON, Mass., Nov. 15.--The October output of the Calumet and Hecla and subsidiary copper mines aggregated 9,715,740 pounds, a substantial increase over September's production, which was 8,505,961 pounds. In August the total was 7,580,901 pounds.","Article"
"5496",5496,"To meet the increasing demand for landing and garage facilities for airplanes and dirigibles, and realizing that Cuba will be the stopping place for the large transatlantic and transpacific airplanes of the near future and for aircraft plying betw...","Article"
"5497",5497,"Handley Page Plane goes through fence at Cleveland; badly damaged","Article"
"5498",5498,"Five aids to forest conservation were suggested yesterday at the annual conference of the American Paper and Pulp Association at the Waldorf by a committee headed by Frank L. Moore.","Article"
"5499",5499,"THERE will be presented at the Park Theatre tomorrow night one of the most lauded and least sung of the Gilbert and  Sullivan collaborations--a light opera which, except for a brief and obscurely chronicled revival in 1915, has ...","Article"
"5500",5500,"pays fine and receives suspended sentence for running gambling house at Lynbrook","Article"
"5501",5501,"The impossibility of providing homes for the poorer class of workers in New York City, and the very great fire risk in such houses as are being renovated for their use, were revealed by Lawson Purdy, director of the Charity Organization Society of...","Article"
"5502",5502,"criticises N. Y. S. Legislative Com's Investigation of Bolshevism and assails proposed deportations of radicals","Article"
